Location,PM2.5,PM10,NO2,NH3,SO2,CO,Ozone,NO,NOx,AQI
Dwarka,13.17,57.35,10.79,37.94,1.37,0.61,16.1,8.26,18.98,57.35
Dwarka,29.88,94.09,21.18,40.56,1.79,0.96,12.84,13.76,34.97,94.09
Dwarka,42.74,119.58,13.53,47.47,1.78,0.74,15.81,12.03,25.54,119.58
Dwarka,33.01,104.8,16.44,52.14,1.86,0.77,17.41,7.4,23.81,104.8
Dwarka,22.33,71.44,10.22,40.94,2.28,0.58,20.21,7.36,17.37,71.44
Dwarka,18.82,63.04,14.65,37.41,1.7,0.74,12.97,10.32,24.79,63.04
Dwarka,30.23,105.95,20.61,41.72,3.43,0.77,23.39,8.62,29.1,105.95
Dwarka,29.11,102.43,12.51,45.1,0.97,0.59,17.03,9.03,21.36,102.43
Dwarka,27.85,109.12,10.81,46.3,1.11,0.52,15.16,8.07,18.87,109.12
Dwarka,32.01,149.79,12.97,40.89,0.74,0.61,14.49,12.99,25.95,149.79
Dwarka,37.45,147.69,15.16,35.98,2,0.6,21.06,10.18,25.2,147.69
Dwarka,46.69,139.23,26.37,41.24,1.88,0.79,17.32,17.8,44.26,139.23
Dwarka,39.05,136.03,18.81,45.19,1.58,0.74,13.27,21.13,40.07,136.03
Dwarka,39.46,121.58,19.1,46.97,1.23,0.68,18.4,16.27,35.19,121.58
Dwarka,35.72,124.61,20.73,45.68,1.87,0.72,18.29,14.27,35.08,124.61
Dwarka,29.01,116.89,15.49,40.01,1.83,0.64,12.46,17.89,33.45,116.89
Dwarka,18.48,91.01,15.61,35.18,1.27,0.52,13.49,15,30.58,91.01
Dwarka,20.94,94.86,14.54,32.31,2.09,0.62,15.12,14.29,28.9,94.86
Dwarka,30.57,123.75,15.87,31.33,1.48,0.7,17.34,13.31,29.18,123.75
Dwarka,33.57,141.56,21.36,36.04,3.06,0.7,18.64,29.07,50.24,141.56
Dwarka,56.81,174.59,24.64,31.07,11.33,0.68,46.55,6.11,30.63,174.59
Dwarka,49.95,133.3,22.06,47.45,3.64,0.93,27.86,7.83,29.51,133.3
Dwarka,45.15,109.27,18.33,57.29,7.29,0.82,20.55,7.63,25.69,109.27
Dwarka,26.27,84.32,17.91,50.14,3.33,0.84,20.38,7.36,25.1,84.32
Dwarka,20.21,87.17,17.64,41.55,3.3,0.84,19.53,8.32,25.85,87.17
Dwarka,12.2,63.08,17.3,39.81,3.28,0.75,11.1,11.23,28.4,63.08
Dwarka,12.24,52.89,14.72,42.68,2.99,0.72,12.41,8.43,23.14,52.89
Dwarka,13.65,36.47,11.78,43.56,2.26,0.71,11.11,7.96,19.72,43.56
Dwarka,14.1,29.58,16.13,40.13,2.92,1.1,7.71,16.74,32.87,40.13
Dwarka,30.48,100.43,17.78,38.1,3.67,0.86,15.02,15.58,33.35,100.43
Dwarka,42.97,159.97,20.6,38.2,3.22,1.15,19.24,22.45,42.8,159.97
Dwarka,66.85,213.62,22.38,46.04,2.46,1.06,17.65,28.65,51.03,213.62
Dwarka,86,210,31,63.3,1.3,1.1,3.5,7.1,38.1,210
Anand Vihar,27.72,264.76,43.41,57.23,19.24,1.51,56.67,78.14,86.81,264.76
Anand Vihar,45.9,228.57,60.7,52.04,12.07,1.64,55.04,80.98,98.31,228.57
Anand Vihar,63.45,285.72,50.51,54.45,11.97,1.6,54.18,65.79,80.5,285.72
Anand Vihar,38.41,134.99,34,59.36,11.2,1.34,54.88,19.86,34.28,134.99
Anand Vihar,25.01,96.76,28.72,58.98,9.25,1.3,53.26,10.85,24.13,96.76
Anand Vihar,22.24,65.68,30.29,57.21,14.17,1.33,52.67,13.81,27.38,65.68
Anand Vihar,50.9,228.76,61.9,55.5,20.33,1.55,53.57,53.92,76.88,228.76
Anand Vihar,53.26,294.7,51.54,55.28,17.77,1.37,51.58,87.26,98.53,294.7
Anand Vihar,43.18,290.55,44.4,57.61,20.84,1.49,53.35,82.86,91.2,290.55
Anand Vihar,50.24,294.1,50.33,57.15,17.66,1.55,55.28,102.16,110.07,294.1
Anand Vihar,52.33,237.55,51.26,56.7,18.36,1.58,57.49,62.84,78.51,237.55
Anand Vihar,64.18,232.73,77.58,52.43,24.37,,57.95,80.51,106.9,232.73
Anand Vihar,56.92,295.62,61.31,58.83,18.53,2.97,44.99,100.98,114.91,295.62
Anand Vihar,69.97,375.44,63.08,56.18,11.49,1.85,60.91,88.32,105.57,375.44
Anand Vihar,64.79,193.1,80.64,57.83,25.88,3.4,54.26,83.06,110.61,193.1
Anand Vihar,47.6,372.23,49.4,54.56,24.77,,51.76,103.82,110.93,372.23
Anand Vihar,40.9,309.91,47.91,56.54,15.12,,48.12,77.04,88.3,309.91
Anand Vihar,46.24,293.12,48.27,56.23,15.43,,48.12,70.89,83.49,293.12
Anand Vihar,57.62,304.21,52.61,54.92,18.9,,46.96,72.83,87.37,304.21
Anand Vihar,63.55,262.16,58.45,57.04,26.12,,51.76,36.62,60.95,262.16
Anand Vihar,70.73,207.04,52.35,56.7,24.26,,62.99,19.22,43.51,207.04
Anand Vihar,61.73,130.09,38.65,57.38,25.82,,63.67,9.78,28.53,130.09
Anand Vihar,54.4,113.14,36.51,54.46,25.73,,61.77,17.62,33.78,113.14
Anand Vihar,27.02,76.91,28.11,59.34,28.9,,61.32,7.38,20.97,76.91
Anand Vihar,26.1,90.95,28.6,55.72,29.05,,62.46,14.46,27,90.95
Anand Vihar,23.31,83.12,29.61,52.66,19.41,,62.56,14.76,27.78,83.12
Anand Vihar,20.81,74.03,28.7,51.94,24.43,,61.79,14.04,26.72,74.03
Anand Vihar,18.97,73.8,26.33,51.85,23.13,,60.8,26.29,35.43,73.8
Anand Vihar,19.57,42.6,31.25,52.45,32.01,,55.68,52.74,59.63,59.63
Anand Vihar,40.21,172.69,42.42,51.65,25.79,,57.02,36.31,52.18,172.69
Anand Vihar,71.55,393.2,54.75,52.82,26.96,,59.08,60.23,78.23,393.2
Anand Vihar,99.1,473.11,60.14,54.75,21.28,,58.29,87.05,102.95,473.11
Anand Vihar,120,817,62.2,63,76.5,,,146.2,152.3,817
ITO,36.62,68.8,13.91,57.1,14.03,0.67,41.57,13.84,11.73,68.8
ITO,54.97,97.68,14.84,56.43,11.56,0.55,41.84,14.13,12.12,97.68
ITO,42.23,75.48,14.62,60.65,14.65,0.58,40.98,15.1,12.69,75.48
ITO,30.54,52.22,29.45,62.3,17.01,0.49,40.32,14.52,12.65,62.3
ITO,29.4,48.13,39.92,51.56,17.51,0.6,46.55,16.47,19.9,51.56
ITO,41.46,77.77,29.8,28.12,18.82,0.58,43.24,16.75,29.43,77.77
ITO,39.39,78.35,31.09,28.03,18.76,0.5,23.82,16.79,30.11,78.35
ITO,34.78,79.97,31.09,28.45,17.75,0.42,31.1,17.54,30.75,79.97
ITO,40.41,106.91,30.13,28,19.31,0.44,20.23,16.63,29.43,106.91
ITO,47.19,110.66,30.14,28.05,15.81,0.63,31.36,16.74,29.54,110.66
ITO,55.23,105.3,38.02,29.9,7.21,0.85,9.84,17.81,34.09,105.3
ITO,45.58,92.06,43.32,32.23,7.54,0.68,52.44,17.17,36.9,92.06
ITO,50.25,90.78,58.14,33.4,8.73,0.77,24.19,17.59,45.1,90.78
ITO,50.45,97.31,61.65,33.4,7.96,1.43,37.58,18.25,47.43,97.31
ITO,34.84,73.32,50.12,32.93,8.33,0.68,69.8,16.73,40.14,73.32
ITO,27.64,58.21,49.44,33.01,6.12,0.65,85.39,17.31,40.27,85.39
ITO,29.9,64.55,51.13,33.19,7.26,0.6,81.83,18.05,41.68,81.83
ITO,44.91,96.26,56.11,33.66,10.21,0.85,55.21,19.45,45.42,96.26
ITO,54.35,103.43,63.24,34.28,13.01,0.84,61.28,21.32,50.62,103.43
ITO,73.65,120.12,55.93,33.64,11.46,1.13,54.7,19.85,45.75,120.12
ITO,70.07,99.53,55.09,33.42,9.77,1.01,58.78,18.75,44.33,99.53
ITO,64.95,88.99,50.25,33.1,7.59,1.01,41.47,17.65,40.97,88.99
ITO,42.48,72.99,49.24,33.05,7.11,0.77,43.43,17.49,40.31,72.99
ITO,34.52,56.81,47.03,32.78,11.13,1.08,42.99,17.4,39.05,56.81
ITO,22.46,46.34,49.44,32.89,9.83,0.76,33.27,18.1,40.91,49.44
ITO,23.32,46.96,47.41,33.2,10.71,0.81,35.28,17.72,39.54,47.41
ITO,21.68,33.99,49.53,33,8.92,0.57,36.38,18.35,41.14,49.53
ITO,22.83,36.2,43.03,28.64,8.11,1.21,3.65,16.34,36,43.03
ITO,43.62,89.28,18.88,20.36,13.3,1,8.8,11.43,19.15,89.28
ITO,64.52,126.56,16.06,18.88,11.14,1.63,20.44,11.29,17.33,126.56
ITO,88.67,158.47,18.89,19.99,12.6,1.66,9.37,9.78,17.9,158.47
ITO,81,144,22,20.4,13.4,3.1,1.2,9.5,19.5,144
Rohini,12.36,49.9,7.04,35.3,1.6,0.56,9.41,3.78,10.81,49.9
Rohini,26.32,85.93,12.37,32.97,2.16,0.7,10.36,5.14,17.51,85.93
Rohini,38.64,104.42,8.93,38.11,2.03,0.66,6.95,3.74,12.66,104.42
Rohini,35.04,96.55,9.42,48.5,2.03,0.67,8.22,3.51,12.91,96.55
Rohini,20.76,67.17,11.79,47.1,2.22,0.6,8.96,5.33,17.1,67.17
Rohini,16.34,55.61,15.96,38.65,1.61,0.65,9.07,10.39,26.38,55.61
Rohini,29.05,105.99,15.53,38.25,1.53,0.78,20.44,7.61,23.07,105.99
Rohini,30.67,91.41,8.8,39.33,2.29,0.62,8.32,4.59,13.4,91.41
Rohini,25.8,88.3,7.37,37.9,2.14,0.58,9.79,3.47,10.83,88.3
Rohini,30.95,145.33,9.42,38.14,2.24,0.7,11.61,10.23,19.75,145.33
Rohini,31.58,138.98,12.2,34.53,2.35,0.64,10.05,4.76,17.04,138.98
Rohini,43.67,147.52,20.13,35.73,2.4,0.88,9.13,6.88,27.02,147.52
Rohini,32.41,118.03,12.52,44.41,2.22,0.68,10.24,7,19.5,118.03
Rohini,37.94,141.56,12.06,41.92,2.98,0.65,7.01,6.29,18.35,141.56
Rohini,39.07,138.03,16.69,46.37,3.19,0.77,7.57,13.79,30.49,138.03
Rohini,27.06,111.58,11.15,46.17,2.89,0.66,6.82,6.92,18.06,111.58
Rohini,23.22,91.4,12.12,41.01,2.8,0.62,6.88,5.98,18.08,91.4
Rohini,20.67,89.32,9.73,37.52,2.16,0.56,10.8,3.68,13.4,89.32
Rohini,36.89,135.83,12.77,36.22,3.15,0.65,8.53,5.41,18.16,135.83
Rohini,41.38,135.81,13.74,38.55,4.81,0.68,17.96,4.81,18.49,135.81
Rohini,68.01,165.82,14.96,43.25,4.64,0.83,23.41,3.08,18.05,165.82
Rohini,60.18,136.91,18.53,46.53,2.91,0.9,22.16,5.72,24.3,136.91
Rohini,48.83,100.16,15.3,47.57,2.45,0.77,13.05,4.68,19.99,100.16
Rohini,32.36,84.25,14,43.17,3.37,0.74,17.19,5.76,19.88,84.25
Rohini,24.12,76.19,13.39,38.04,2.56,0.75,16.09,4.72,18.12,76.19
Rohini,17.65,60.43,11.34,36.16,2.23,0.66,8.97,3.28,14.62,60.43
Rohini,13.09,51.8,8.42,36.06,1.86,0.6,9.1,2.9,11.31,51.8
Rohini,12.75,31.71,6.65,36.93,1.79,0.61,7.17,2.49,9.14,36.93
Rohini,12.65,21.7,11.03,33.26,1.75,0.74,7.97,7.59,18.5,33.26
Rohini,31.36,88.95,13.91,32.86,2,0.82,10.15,12.82,26.71,88.95
Rohini,46.18,142.66,18.3,32.86,2.88,1.08,15.52,20.8,39.04,142.66
Rohini,85.92,200.73,18.35,40.17,3.43,1.15,6.06,18.77,37.13,200.73
Rohini,64,262,28.8,41.9,3.1,1.8,2.9,104.6,135.8,262
